,Open,High,Low,Close
2020-11-01,394.0,406.98,392.3,400.5
2020-11-02,394.0,406.9800109863281,392.29998779296875,400.510009765625
2020-11-03,409.7300109863281,427.7699890136719,406.69000244140625,423.8999938964844
2020-11-04,430.6199951171875,435.3999938964844,417.1000061035156,420.9800109863281
2020-11-05,428.29998779296875,440.0,424.0,438.0899963378906
2020-11-06,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125
2020-11-07,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125
2020-11-08,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125
2020-11-09,439.5,452.5,421.0,421.260009765625
2020-11-10,420.0899963378906,420.0899963378906,396.0299987792969,410.3599853515625
2020-11-11,416.45001220703125,418.70001220703125,410.5799865722656,417.1300048828125
2020-11-12,415.04998779296875,423.0,409.5199890136719,411.760009765625
2020-11-13,410.8500061035156,412.5299987792969,401.6600036621094,408.5
2020-11-14,410.8500061035156,412.5299987792969,401.6600036621094,408.5
2020-11-15,410.8500061035156,412.5299987792969,401.6600036621094,408.5
2020-11-16,408.92999267578125,412.45001220703125,404.0899963378906,408.0899963378906
2020-11-17,460.1700134277344,462.0,433.010009765625,441.6099853515625
2020-11-18,448.3500061035156,496.0,443.5,486.6400146484375
2020-11-19,492.0,508.6099853515625,487.57000732421875,499.2699890136719
2020-11-20,497.989990234375,502.5,489.05999755859375,489.6099853515625
2020-11-21,497.989990234375,502.5,489.05999755859375,489.6099853515625
2020-11-22,497.989990234375,502.5,489.05999755859375,489.6099853515625
2020-11-23,503.5,526.0,501.7900085449219,521.8499755859375
2020-11-24,540.4000244140625,559.989990234375,526.2000122070312,555.3800048828125
2020-11-25,550.0599975585938,574.0,545.3699951171875,574.0
2020-11-26,550.0599975585938,574.0,545.3699951171875,574.0
2020-11-27,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625
2020-11-28,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625
2020-11-29,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625
2020-11-30,602.2100219726562,607.7999877929688,554.510009765625,567.5999755859375
2020-12-01,597.5900268554688,597.8499755859375,572.0499877929688,584.760009765625
2020-12-02,556.4400024414062,571.5399780273438,541.2100219726562,568.8200073242188
2020-12-03,590.02001953125,598.969970703125,582.4299926757812,593.3800048828125
2020-12-04,591.010009765625,599.0399780273438,585.5,599.0399780273438
2020-12-05,591.010009765625,599.0399780273438,585.5,599.0399780273438
2020-12-06,591.010009765625,599.0399780273438,585.5,599.0399780273438
2020-12-07,604.9199829101562,648.7899780273438,603.0499877929688,641.760009765625
2020-12-08,625.510009765625,651.280029296875,618.5,649.8800048828125
2020-12-09,653.6900024414062,654.3200073242188,588.0,604.47998046875
2020-12-10,574.3699951171875,627.75,566.3400268554688,627.0700073242188
2020-12-11,615.010009765625,624.0,596.7999877929688,609.989990234375
2020-12-12,615.010009765625,624.0,596.7999877929688,609.989990234375
2020-12-13,615.010009765625,624.0,596.7999877929688,609.989990234375
2020-12-14,619.0,642.75,610.2000122070312,639.8300170898438
